,na,公告日,次日,涨幅,市值,ROE,扣非归母净利润,毛利率,市盈率(pe),市净率(pb),至今涨幅
002098.XSHE,浔兴股份,2025-04-26,2025-04-28,9.97,32.58,3.84,8.69,39.13,15.01,2.37,-11.05
600828.XSHG,茂业商业,2025-04-28,2025-04-28,10.11,69.45,0.21,2.07,-77.54,-999.7,0.99,-7.82
300718.XSHE,长盛轴承,2025-04-23,2025-04-23,12.58,209.06,3.23,19.29,2.64,90.93,12.6,-4.54
300007.XSHE,汉威科技,2025-04-29,2025-04-29,8.23,118.99,0.6,2.74,59.84,150.38,4.17,-4.09
301261.XSHE,恒工精密,2025-04-29,2025-04-29,10.89,68.17,1.31,8.4,-36.0,116.63,4.44,-3.78
603119.XSHG,浙江荣泰,2025-04-30,2025-04-30,7.04,158.7,3.2,22.35,27.08,65.33,8.41,-2.79
300180.XSHE,华峰超纤,2025-04-23,2025-04-23,8.38,137.54,1.33,5.83,173.47,125.06,2.93,-0.89
300553.XSHE,集智股份,2025-04-26,2025-04-28,7.69,40.73,1.09,12.85,3020.88,164.97,4.94,-0.6
600278.XSHG,东方创业,2025-04-29,2025-04-29,10.03,62.98,0.74,0.81,-11.63,29.77,0.84,0.0
002667.XSHE,威领股份,2025-04-30,2025-04-30,10.01,30.05,-7.08,-57.88,-45.39,-9.48,8.82,1.72
300888.XSHE,稳健医疗,2025-04-29,2025-04-29,7.38,288.78,2.2,10.05,35.26,37.92,2.53,2.78
002627.XSHE,三峡旅游,2025-04-22,2025-04-22,10.02,40.65,0.54,12.36,75.53,32.58,1.31,4.08
603507.XSHG,振江股份,2025-04-30,2025-04-30,10.01,46.22,0.29,0.96,-86.7,37.87,1.86,4.15
002582.XSHE,好想你,2025-04-24,2025-04-24,10.0,47.14,1.11,9.62,227.7,-105.35,1.31,4.3
603065.XSHG,宿迁联盛,2025-04-29,2025-04-29,9.98,36.99,0.38,2.55,-28.71,102.13,1.79,4.87
603136.XSHG,天目湖,2025-04-21,2025-04-21,7.99,34.04,1.03,14.7,11.21,31.64,2.52,4.91
002562.XSHE,兄弟科技,2025-04-26,2025-04-28,7.98,50.42,0.67,2.28,182.95,58.0,1.61,5.1
600726.XSHG,华电能源,2025-04-25,2025-04-25,10.13,188.99,12.01,13.44,-1.7,85.83,4.47,5.29
603351.XSHG,威尔药业,2025-04-22,2025-04-22,10.0,37.94,2.13,10.23,6.71,25.56,2.18,6.1
603938.XSHG,三孚股份,2025-04-29,2025-04-29,9.98,52.92,1.11,5.45,253.09,65.89,2.16,6.14
600866.XSHG,星湖科技,2025-04-22,2025-04-22,10.04,126.94,5.83,11.8,88.02,10.89,1.51,6.56
002201.XSHE,九鼎新材,2025-04-30,2025-04-30,9.97,41.18,1.49,5.61,84.89,111.03,3.7,6.76
300573.XSHE,兴齐眼药,2025-04-29,2025-04-29,14.14,133.05,8.75,27.21,319.86,29.62,7.63,6.77
000885.XSHE,城发环境,2025-04-25,2025-04-25,8.33,88.22,3.17,19.36,19.08,7.4,1.01,6.93
300989.XSHE,蕾奥规划,2025-04-28,2025-04-28,7.79,35.42,0.39,4.13,-10.32,-78.73,3.59,6.96
603809.XSHG,豪能股份,2025-04-30,2025-04-30,8.72,120.03,3.38,16.74,30.27,34.68,3.92,7.3
600774.XSHG,汉商集团,2025-04-30,2025-04-30,10.05,25.9,0.17,0.48,-87.24,-105.74,1.56,7.6
603286.XSHG,日盈电子,2025-04-29,2025-04-29,9.98,36.41,-0.85,-2.35,-181.66,-1947.09,4.18,7.75
002034.XSHE,旺能环境,2025-04-30,2025-04-30,10.0,75.9,2.96,23.19,17.05,13.08,1.13,7.96
002386.XSHE,天原股份,2025-04-25,2025-04-25,9.95,60.79,0.15,0.18,309.35,-13.37,0.81,8.1
603205.XSHG,健尔康,2025-04-23,2025-04-23,10.01,46.92,2.01,11.96,15.42,37.82,3.24,8.16
002908.XSHE,德生科技,2025-04-26,2025-04-28,10.08,40.86,0.58,4.85,-21.11,204.06,3.62,8.48
301022.XSHE,海泰科,2025-04-24,2025-04-24,14.03,23.56,1.32,7.24,5738.82,80.05,2.42,8.68
002440.XSHE,闰土股份,2025-04-29,2025-04-29,10.01,81.94,0.51,3.86,612.07,31.52,0.87,8.97
600184.XSHG,光电股份,2025-04-29,2025-04-29,7.1,69.75,0.04,0.39,112.91,-35.62,2.96,9.33
603590.XSHG,康辰药业,2025-04-26,2025-04-28,7.43,49.88,1.41,22.71,2.76,110.69,1.58,9.67
002553.XSHE,南方精工,2025-04-30,2025-04-30,9.99,75.72,7.76,49.97,630.37,58.04,6.19,9.84
301603.XSHE,乔锋智能,2025-04-25,2025-04-25,11.36,59.12,3.55,15.61,49.39,25.89,2.76,10.17
002293.XSHE,罗莱生活,2025-04-25,2025-04-25,7.23,73.98,2.66,10.35,26.56,16.21,1.72,10.6
